Days,Lesson,Try It,,,,,,,,,
1,1,1,,,,,,,,,
2,1,2,,,,,,,,,
3,1,3,,,,,,,,,
4,1,4,,,,,,,,,
5,1,5,,,,,,,,,
6,1,6,,,,,,,,,
7,1,7,,,,,,,,,
8,1,8,,,,,,,,,
9,1,8,,,,,,,,,
10,1,8,,,,,,,,,
11,2,1,,,,,,,,,
12,2,2,,,,,,,,,
13,2,3,,,,,,,,,
14,2,4,,,,,,,,,
15,2,5,,,,,,,,,
16,2,6,,,,,,,,,
17,2,7,,,,,,,,,
18,2,8,,,,,,,,,
19,2,8,,,,,,,,,
20,2,9,,,,,,,,,
21,2,10,,,,,,,,,
22,2,11,,,,,,,,,
23,2,12,,,,,,,,,
24,2,13,,,,,,,,,
25,2,13,,,,,,,,,
26,2,13,,,,,,,,,
27,3,1,,,,,,,,,
28,3,2,,,,,,,,,
29,3,3,,,,,,,,,
30,3,4,,,,,,,,,
31,3,5,,,,,,,,,
32,3,6,,,,,,,,,
33,3,7,,,,,,,,,
34,3,8,,,,,,,,,
35,3,8,,,,,,,,,
36,3,8,,,,,,,,,
37,4,1,,,,,,,,,
38,4,2,,,,,,,,,
39,4,3,,,,,,,,,
40,4,4,,,,,,,,,
41,4,5,,,,,,,,,
42,4,5,,,,,,,,,
43,5,1,,,,,,,,,
44,5,2,,,,,,,,,
45,5,3,,,,,,,,,
46,5,4,,,,,,,,,
47,5,5,,,,,,,,,
48,5,6,,,,,,,,,
49,5,7,,,,,,,,,
50,5,8,,,,,,,,,
51,5,9,,,,,,,,,
52,5,9,,,,,,,,,
53,5,9,,,,,,,,,
54,6,1,,,,,,,,,
55,6,2,,,,,,,,,
56,6,3,,,,,,,,,
57,6,4,,,,,,,,,
58,6,5,,,,,,,,,
59,6,6,,,,,,,,,
60,6,7,,,,,,,,,
61,6,8,,,,,,,,,
62,6,9,,,,,,,,,
63,6,10,,,,,,,,,
64,6,10,,,,,,,,,
65,6,10,,,,,,,,,
66,7,1,,,,,,,,,
67,7,1,,,,,,,,,
68,7,2,,,,,,,,,
69,7,3,,,,,,,,,
70,7,4,,,,,,,,,
71,7,5,,,,,,,,,
72,7,6,,,,,,,,,
73,7,7,,,,,,,,,
74,7,7,,,,,,,,,
75,7,7,,,,,,,,,
76,8,1,,,,,,,,,
77,8,2,,,,,,,,,
78,8,3,,,,,,,,,
79,8,3,,,,,,,,,
80,8,4,,,,,,,,,
81,8,5,,,,,,,,,
82,8,6,,,,,,,,,
83,8,7,,,,,,,,,
84,8,7,,,,,,,,,
85,8,8,,,,,,,,,
86,8,8,,,,,,,,,
87,8,8,,,,,,,,,
88,8,8,,,,,,,,,
89,8,8,,,,,,,,,
90,9,1,,,,,,,,,
91,9,1,,,,,,,,,
92,9,2,,,,,,,,,
93,9,2,,,,,,,,,
94,9,3,,,,,,,,,
95,9,4,,,,,,,,,
96,9,4,,,,,,,,,
97,9,5,,,,,,,,,
98,9,6,,,,,,,,,
99,9,7,,,,,,,,,
100,9,8,,,,,,,,,
101,9,9,,,,,,,,,
102,9,9,,,,,,,,,
103,9,9,,,,,,,,,
104,10,1,,,,,,,,,
105,10,2,,,,,,,,,
106,10,3,,,,,,,,,
107,10,3,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
